"No.","Time","Source","Destination","Protocol","Length","Info"
"123","13.088805","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"124","13.089214","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"125","13.089633","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"126","13.090054","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"127","13.090534","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"128","13.090955","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"129","13.091378","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"130","13.091816","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"131","13.092234","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"132","13.092644","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"133","13.093019","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"134","13.093456","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"135","13.093875","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"136","13.094274","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"137","13.094659","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"138","13.095055","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"139","13.095569","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"140","13.095970","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"141","13.096365","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"142","13.096762","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"143","13.097135","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"144","13.097518","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"145","13.097894","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"146","13.098273","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"147","13.098661","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"148","13.099037","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"149","13.099375","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"150","13.099762","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"151","13.100129","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"152","13.100473","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"153","13.100945","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"154","13.101348","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"155","13.101744","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"156","13.102117","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"157","13.102490","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"158","13.102863","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"159","13.103243","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"160","13.103584","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"161","13.103983","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"162","13.104353","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"163","13.104717","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"164","13.105091","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"165","13.105454","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"166","13.105836","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"167","13.106309","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"168","13.106659","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"169","13.107023","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"170","13.107373","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"171","13.107720","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"172","13.108042","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"173","13.108413","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"174","13.108770","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"175","13.109108","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"176","13.109445","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"177","13.109782","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"178","13.110119","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"179","13.110434","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"180","13.110790","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"181","13.111137","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
"182","13.111484","192.168.1.9","192.168.1.9","TCP","54","[TCP Retransmission] 135  >  135 [SYN] Seq=0 Win=8192 Len=0"
